time="2021-10-19T09:36:41+08:00" level=info msg="service start ... "
time="2021-10-19T09:36:41+08:00" level=warning msg="open configs/last.json: The system cannot find the file specified."
time="2021-10-19T09:36:41+08:00" level=info msg="load default config"
time="2021-10-19T09:38:57+08:00" level=trace msg="not exist"
time="2021-10-19T09:39:48+08:00" level=trace msg="not exist"
time="2021-10-19T09:39:55+08:00" level=trace msg="not exist"
time="2021-10-19T09:40:03+08:00" level=trace msg="not exist"
time="2021-10-19T09:40:49+08:00" level=trace msg="not exist"
time="2021-10-19T09:40:53+08:00" level=trace msg="not exist"
time="2021-10-19T09:40:59+08:00" level=trace msg="not exist"
time="2021-10-19T09:41:50+08:00" level=trace msg="not exist"
time="2021-10-19T09:43:03+08:00" level=trace msg="not exist"
time="2021-10-19T09:43:18+08:00" level=trace msg="not exist"
time="2021-10-19T09:43:20+08:00" level=trace msg="not exist"
time="2021-10-19T09:50:27+08:00" level=trace msg="not exist"
