time="2021-10-19T10:33:57+08:00" level=info msg="service start ... "
time="2021-10-19T10:33:57+08:00" level=warning msg="open configs/last.json: The system cannot find the file specified."
time="2021-10-19T10:33:57+08:00" level=info msg="load default config"
time="2021-10-19T10:38:29+08:00" level=trace msg="not exist"
time="2021-10-19T10:38:47+08:00" level=trace msg="not exist"
time="2021-10-19T10:38:51+08:00" level=trace msg="not exist"
time="2021-10-19T10:39:03+08:00" level=trace msg="not exist"
time="2021-10-19T10:39:11+08:00" level=trace msg="not exist"
time="2021-10-19T10:39:20+08:00" level=trace msg="not exist"
time="2021-10-19T10:39:23+08:00" level=trace msg="not exist"
time="2021-10-19T10:40:11+08:00" level=trace msg="not exist"
time="2021-10-19T10:40:15+08:00" level=trace msg="not exist"
time="2021-10-19T10:40:26+08:00" level=trace msg="not exist"
