time="2021-10-19T09:56:56+08:00" level=info msg="service start ... "
time="2021-10-19T09:56:56+08:00" level=warning msg="open configs/last.json: The system cannot find the file specified."
time="2021-10-19T09:56:56+08:00" level=info msg="load default config"
time="2021-10-19T09:58:27+08:00" level=trace msg="not exist"
time="2021-10-19T09:58:48+08:00" level=trace msg="not exist"
time="2021-10-19T09:59:59+08:00" level=trace msg="not exist"
time="2021-10-19T10:01:55+08:00" level=trace msg="not exist"
time="2021-10-19T10:02:11+08:00" level=trace msg="not exist"
time="2021-10-19T10:02:15+08:00" level=trace msg="not exist"
time="2021-10-19T10:02:28+08:00" level=trace msg="not exist"
time="2021-10-19T10:02:30+08:00" level=trace msg="not exist"
time="2021-10-19T10:03:04+08:00" level=trace msg="not exist"
time="2021-10-19T10:03:07+08:00" level=trace msg="not exist"
time="2021-10-19T10:04:33+08:00" level=trace msg="not exist"
time="2021-10-19T10:04:39+08:00" level=trace msg="not exist"
time="2021-10-19T10:04:43+08:00" level=trace msg="not exist"
time="2021-10-19T10:04:54+08:00" level=trace msg="not exist"
time="2021-10-19T10:05:06+08:00" level=trace msg="not exist"
