time="2021-10-22T15:18:50+08:00" level=info msg="service start ... "
time="2021-10-22T15:18:50+08:00" level=warning msg="open configs/last.json: The system cannot find the file specified."
time="2021-10-22T15:18:50+08:00" level=info msg="load default config"
time="2021-10-22T15:19:24+08:00" level=trace msg="not exist"
time="2021-10-22T15:20:45+08:00" level=trace msg="not exist"
time="2021-10-22T15:20:48+08:00" level=trace msg="not exist"
time="2021-10-22T15:25:41+08:00" level=trace msg="not exist"
time="2021-10-22T15:26:23+08:00" level=trace msg="not exist"
time="2021-10-22T15:26:40+08:00" level=trace msg="not exist"
time="2021-10-22T15:32:13+08:00" level=trace msg="not exist"
time="2021-10-22T15:32:23+08:00" level=trace msg="not exist"
